State: have1, Head: 23, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 22, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 21, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 20, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 19, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 18, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 17, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 16, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 15, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 16, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 17, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 18, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 19, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 20, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 21, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 22, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 23, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 24, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 25, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 26, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 27, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 28, Tape: BBBBBBBBBBBBBBBIOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 27, Tape: BBBBBBBBBBBBBBBIOIII+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 26, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 25, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 24, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 23, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 22, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 21, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 20, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 19, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 18, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 17, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 16, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 15, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 14, Tape: BBBBBBBBBBBBBBBIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 15, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 16, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 17, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 18, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 19, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 20, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 21, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 22, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 23, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 24, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 25, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 26, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 27, Tape: BBBBBBBBBBBBBBOIOIII+101001c10111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 26, Tape: BBBBBBBBBBBBBBOIOIII+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 25, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 24, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 23, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 22, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 21, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 20, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 19, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 18, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 17, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 16, Tape: BBBBBBBBBBBBBBOIOIII+10100c010111*10100010BBBBBBBBBBBBBBBBBBBBBB
